id;nombre;apellido1;apellido2;email;nif;telefono;fecha_nacimiento;especialidad;rol;password
6fad07ac-2402-4e2d-ba87-94fbb5c31956;María;García;;maria.garcia1@mail.com;39958838H;676804025;1956-09-07;;paciente;password
d4cb8fe4-b9b7-42ec-ad3c-7ea03f7022db;Miguel;Pérez;Jiménez;miguel.perez2@demo.es;10872248X;663193008;1993-05-26;;paciente;password
10337735-6779-4c4b-ad58-d8b121135d39;Luis;Gómez;;luis.gomez3@udc.es;20576383P;786857022;1960-04-28;;paciente;password
e29e740e-e703-4b1f-9dbd-d20a4178959b;María;Pérez;Sánchez;maria.perez4@mail.com;59684848D;722966171;1979-05-21;;paciente;password
ee093bd0-ffd0-4255-af66-9c13e071c744;Miguel;López;;miguel.lopez5@example.com;40742311L;684095724;1996-08-05;;paciente;password
fe26a6ca-5e8e-48db-9c77-ba5c8d71dbf1;Jorge;González;Martín;jorge.gonzalez6@demo.es;88461803P;783295001;1995-03-26;;paciente;password
7d142e33-6a5f-4c35-a074-b3a1a4984aa5;Pablo;Jiménez;Pérez;pablo.jimenez7@udc.es;81016525Z;798076526;1962-05-14;;paciente;password
ddf0d223-0e13-46ac-b94e-47c6f348ad45;Carlos;Gómez;Martínez;carlos.gomez8@mail.com;78139880W;682661757;1988-01-20;;paciente;password
0bc7ced7-20ca-4260-ac13-d268f82ba748;Lucía;Gómez;Sánchez;lucia.gomez9@demo.es;42138745P;625078951;1997-08-18;;paciente;password
0db8bf8c-effe-45fa-94f0-6f5cd5f906cf;Carlos;Martínez;;carlos.martinez10@udc.es;38427073F;673638420;1956-10-18;;paciente;password
575ed5b6-b4ac-4f35-b0f4-ab6bbbba6dc4;Ana;Jiménez;Fernández;ana.jimenez11@example.com;40728046Z;698026219;1991-10-16;;paciente;password
c72c277f-03fb-4fea-ae7a-fa517e61749a;Ana;Gómez;;ana.gomez12@mail.com;22660194L;663480660;2001-06-26;;paciente;password
f5d482ff-019a-4161-a8e6-11d45f5ab3c4;María;López;Martín;maria.lopez13@udc.es;28814949C;714808806;1989-01-03;;paciente;password
409ab6c7-1527-4908-a1fb-1e068c7b5337;Ana;González;Gómez;ana.gonzalez14@mail.com;63826716Z;610397267;2005-09-22;;paciente;password
